COL	15070785	3	1787673444414896
COL	15070785	1	1787673444449932
COL	15070785	19	1787673444449934
COL	15070785	2	1787673444450293
COL	15070785	106	1787673444450365
COL	15070785	5	1787673444450656
COL	15070785	4	1787673444451062
COL	15070785	7	1787673444451389
COL	15070785	11	1787673444452864
COL	15070785	6	1787673444452913
COL	15070785	10	1787673444452983
COL	15070785	13	1787673444454026
COL	15070785	12	1787673444454028
COL	15070785	0	1787673444454030
COL	15070785	24	1787673444454105
COL	15070785	23	1787673444454362
COL	15070785	18	1787673444454804
COL	15070785	21	1787673444454950
COL	15070785	20	1787673444455084
COL	15070785	22	1787673444455358
COL	15070785	14	1787673444455968
COL	15070785	25	1787673444456128
COL	15070785	66	1787673444456133
COL	15070785	26	1787673444456181
COL	15070785	28	1787673444456430
COL	15070785	15	1787673444456714
COL	15070785	27	1787673444457702
COL	15070785	29	1787673444457704
COL	15070785	30	1787673444458101
COL	15070785	32	1787673444458169
COL	15070785	31	1787673444458170
COL	15070785	33	1787673444458476
COL	15070785	36	1787673444458640
COL	15070785	35	1787673444459056
COL	15070785	44	1787673444459278
COL	15070785	41	1787673444459453
COL	15070785	45	1787673444459788
COL	15070785	37	1787673444459984
COL	15070785	34	1787673444460259
COL	15070785	47	1787673444460753
COL	15070785	43	1787673444460897
COL	15070785	40	1787673444461080
COL	15070785	39	1787673444461262
COL	15070785	46	1787673444462058
COL	15070785	48	1787673444462059
COL	15070785	38	1787673444462259
COL	15070785	42	1787673444462930
COL	15070785	49	1787673444463071
COL	15070785	51	1787673444463259
COL	15070785	9	1787673444464321
COL	15070785	54	1787673444464881
COL	15070785	56	1787673444464883
COL	15070785	50	1787673444464939
COL	15070785	59	1787673444464997
COL	15070785	62	1787673444465275
COL	15070785	64	1787673444465277
COL	15070785	52	1787673444465555
COL	15070785	16	1787673444465576
COL	15070785	58	1787673444465765
COL	15070785	61	1787673444465953
COL	15070785	55	1787673444466185
COL	15070785	53	1787673444466561
COL	15070785	65	1787673444466814
